1211,1737,2110,2997,3262,2689,1
1002,1441,1721,3030,3067,2372,1
934,1350,1613,2946,2927,2258,1
945,1366,1632,2993,2952,2242,1
939,1386,1651,3042,2984,2257,1
998,1431,1709,3054,3016,2334,1
764,1226,1294,3635,2687,1826,1
548,941,903,3944,1995,1158,1
674,1035,1029,3626,2247,1423,1
597,980,919,3939,2080,1190,1
922,1375,1555,3373,2950,2155,1
993,1459,1736,3061,3181,2393,1
917,1331,1539,3082,2928,2114,1
915,1325,1537,2987,2842,2122,1
751,1164,1218,3452,2514,1731,1
734,1141,1208,3533,2489,1703,1
827,1264,1394,3163,2710,1977,1
904,1321,1547,2916,2871,2142,1
754,1164,1263,3050,2634,1776,1
872,1296,1504,2866,2884,2118,1
789,1183,1300,3134,2687,1790,1
915,1362,1570,3320,2856,2107,1
857,1263,1444,3041,2834,1997,1
771,1168,1293,2998,2651,1821,1
879,1283,1501,2848,2918,2158,1
842,1240,1405,3421,2603,1832,1
788,1213,1347,3226,2603,1861,1
918,1332,1574,2901,2885,2173,1
787,1121,1250,2835,2281,1613,1
870,1275,1387,3018,2256,1649,1
783,1168,1373,2727,2468,1820,1
809,1170,1330,2898,2241,1599,1
697,1069,1201,2784,2363,1624,1
816,1256,1341,3104,2171,1565,1
646,1071,1206,2834,1896,1329,1
846,1278,1486,2882,2368,1734,1
737,1142,1302,3285,2392,1670,1
886,1365,1673,3052,2700,2101,1
718,1062,1158,3259,2191,1448,1
613,1042,1120,2975,2281,1534,1
639,1061,1205,2811,2463,1720,1
543,919,963,2766,2157,1399,1
571,956,961,3024,2053,1299,1
659,1082,1148,2967,2224,1510,1
540,943,955,3151,2011,1286,1
580,957,998,3069,2169,1374,1
585,972,983,2945,2005,1303,1
530,911,869,3254,1975,1164,1
515,889,830,3111,1885,1114,1
541,954,934,3344,2038,1237,1
509,875,797,3280,1905,1113,1
536,900,842,3228,1910,1116,1
743,1189,1251,3191,2200,1521,1
775,1210,1303,3345,2216,1511,1
760,1265,1355,3270,2234,1570,1
712,1178,1247,3315,2119,1469,1
822,1321,1460,3357,2330,1674,1
797,1255,1402,2891,2540,1886,1
615,1013,1060,2769,2017,1347,1
805,1415,1541,3064,2474,1814,1
634,1043,1092,2790,2012,1383,1
679,1262,1320,3035,2280,1625,1
1257,1896,2157,3421,3066,2456,2
1218,1868,2136,3441,3083,2479,2
709,1311,1167,4755,2480,1462,2
778,1402,1334,4468,2503,1548,2
755,1298,1267,4129,2335,1482,2
737,1353,1247,4494,2449,1473,2
813,1367,1377,4054,2396,1592,2
752,1274,1226,4175,2273,1402,2
704,1301,1230,3776,2015,1207,2
778,1395,1356,3775,2111,1335,2
722,1241,1245,3965,2485,1633,2
766,1347,1286,3959,2335,1475,2
829,1397,1558,3680,2618,1888,2
711,1326,1224,4255,2270,1294,2
924,1476,1461,4034,2569,1664,2
952,1493,1504,3980,2608,1727,2
844,1421,1424,3927,2422,1579,2
865,1489,1472,3916,2426,1584,2
873,1489,1438,4236,2451,1553,2
843,1459,1424,4091,2355,1505,2
959,1528,1622,3347,2424,1748,2
866,1447,1527,3338,2370,1691,2
984,1560,1668,3314,2436,1767,2
651,1163,1172,3806,2371,1563,2
779,1264,1401,3437,2591,1871,2
856,1351,1471,3562,2521,1856,2
690,1245,1158,4251,2394,1545,2
671,1186,1094,4297,2332,1445,2
